order_id,user_id,restaurant_id,order_timestamp,total_amount
ORD1,U342,R175,2026-04-17 19:50:00,457
ORD2,U208,R47,2026-04-17 14:02:00,586
ORD3,U221,R152,2026-04-17 15:51:00,272
ORD4,U487,R186,2026-04-17 18:06:00,466
ORD5,U767,R133,2026-04-17 11:20:00,697
ORD6,U623,R40,2026-04-17 19:29:00,633
ORD7,U545,R164,2026-04-17 11:42:00,401
ORD8,U475,R194,2026-04-17 16:54:00,767
ORD9,U867,R155,2026-04-17 16:36:00,408
ORD10,U121,R141,2026-04-17 11:13:00,698
ORD11,U354,R136,2026-04-17 19:33:00,142
ORD12,U784,R139,2026-04-17 11:06:00,679
ORD13,U179,R62,2026-04-17 12:43:00,142
ORD14,U596,R69,2026-04-17 16:46:00,611
ORD15,U845,R87,2026-04-17 10:50:00,342
ORD16,U723,R128,2026-04-17 11:25:00,628
ORD17,U809,R106,2026-04-17 18:57:00,128
ORD18,U884,R170,2026-04-17 15:47:00,573
ORD19,U369,R113,2026-04-17 12:30:00,521
ORD20,U469,R28,2026-04-17 13:38:00,415
ORD21,U717,R49,2026-04-17 10:03:00,586
ORD22,U244,R110,2026-04-17 15:26:00,762
ORD23,U854,R61,2026-04-17 19:24:00,285
ORD24,U42,R171,2026-04-17 10:40:00,143
ORD25,U351,R182,2026-04-17 13:09:00,259
ORD26,U634,R168,2026-04-17 19:21:00,645
ORD27,U677,R32,2026-04-17 16:39:00,418
ORD28,U797,R188,2026-04-17 13:47:00,561
ORD29,U868,R43,2026-04-17 19:15:00,717
ORD30,U364,R84,2026-04-17 18:37:00,341
ORD31,U546,R102,2026-04-17 15:00:00,779
ORD32,U348,R190,2026-04-17 12:06:00,108
ORD33,U479,R179,2026-04-17 18:25:00,448
ORD34,U444,R144,2026-04-17 15:26:00,103
ORD35,U494,R104,2026-04-17 14:54:00,286
ORD36,U989,R115,2026-04-17 10:21:00,278
ORD37,U328,R141,2026-04-17 18:42:00,133
ORD38,U423,R12,2026-04-17 10:03:00,382
ORD39,U876,R46,2026-04-17 17:07:00,199
ORD40,U82,R65,2026-04-17 10:53:00,115
ORD41,U526,R151,2026-04-17 19:22:00,770
ORD42,U398,R129,2026-04-17 12:31:00,651
ORD43,U768,R158,2026-04-17 19:11:00,490
ORD44,U122,R89,2026-04-17 16:15:00,656
ORD45,U341,R200,2026-04-17 10:13:00,433
ORD46,U801,R89,2026-04-17 15:08:00,201
ORD47,U347,R108,2026-04-17 15:34:00,205
ORD48,U260,R194,2026-04-17 16:00:00,362
ORD49,U547,R121,2026-04-17 15:23:00,405
ORD50,U760,R43,2026-04-17 14:34:00,377
ORD51,U306,R29,2026-04-17 19:47:00,362
ORD52,U691,R49,2026-04-17 18:15:00,521
ORD53,U131,R26,2026-04-17 15:43:00,795
ORD54,U295,R52,2026-04-17 19:05:00,283
ORD55,U334,R9,2026-04-17 18:42:00,612
ORD56,U216,R70,2026-04-17 13:49:00,770
ORD57,U297,R192,2026-04-17 13:24:00,317
ORD58,U669,R185,2026-04-17 19:19:00,399
ORD59,U216,R176,2026-04-17 15:55:00,544
ORD60,U951,R148,2026-04-17 12:54:00,685
ORD61,U410,R112,2026-04-17 10:35:00,759
ORD62,U235,R25,2026-04-17 19:30:00,625
ORD63,U137,R73,2026-04-17 19:09:00,163
ORD64,U555,R182,2026-04-17 16:04:00,269
ORD65,U678,R150,2026-04-17 13:32:00,423
ORD66,U153,R112,2026-04-17 11:19:00,195
ORD67,U25,R46,2026-04-17 10:14:00,412
ORD68,U263,R115,2026-04-17 14:26:00,642
ORD69,U145,R18,2026-04-17 16:52:00,138
ORD70,U844,R175,2026-04-17 16:07:00,132
ORD71,U868,R12,2026-04-17 11:23:00,109
ORD72,U664,R105,2026-04-17 13:43:00,569
ORD73,U617,R165,2026-04-17 14:56:00,145
ORD74,U185,R69,2026-04-17 14:45:00,695
ORD75,U76,R181,2026-04-17 13:17:00,332
ORD76,U917,R133,2026-04-17 19:43:00,236
ORD77,U381,R195,2026-04-17 10:43:00,179
ORD78,U896,R84,2026-04-17 12:01:00,624
